Price List,,
Type,Item,Price
,   , $-   
,"2x4x92 5/8""", $3.27 
,"2x4x104 5/8""", $4.27 
,"2x4x116""", $4.62 
,2x4x8, $4.18 
,2x4x10, $5.24 
,2x4x12, $6.28 
,2x4x14, $6.28 
,2x4x16, $8.37 
,2x4x18, CALL 
,2x4x20, $12.09 
,2x4x16 PT,#VALUE!
,"2x6x92 5/8""", $4.86 
,"2x6x104 5/8""", $6.40 
,"2x6x116""", $7.23 
,2x6x8, $6.28 
,2x6x10 , $7.85 
,2x6x12, $9.42 
,2x6x14, $10.98 
,2x6x16 , $12.55 
,2x6x18 , CALL 
,2x6x20 , $18.15 
,2x6x16 PT, $12.96 
,2x6x12 T&G Pine, $18.00 
,2x6x16 T&G Pine, $24.00 
,2x8x8, $11.44 
,2x8x10, $14.30 
,2x8x12, $17.16 
,2x8x14, $20.02 
,2x8x16, $22.89 
,2x8x18, CALL 
,2x8x20, $31.87 
,2x8x16 PT, $17.60 
,2x10x8, $14.30 
,2x10x10, $17.88 
,2x10x12, $21.45 
,2x10x14, $25.02 
,2x10x16, $28.61 
,2x10x18, CALL 
,2x10x20, $39.84 
,2x10x16 PT, $23.68 
,2x12x8, $17.45 
,2x12x10, $21.82 
,2x12x12, $26.18 
,2x12x14, $30.54 
,2x12x16, $38.84 
,2x12x18, CALL 
,2x12x20, $60.80 
,2x12x16 PT, $36.64 
,"1 3/4""x9 1/2"" LVL", 1 3/4 
,"1 3/4""x11 7/8"" LVL  ", $6.72 
,"1 3/4""x14"" LVL", $7.58 
,"1 3/4""x16"" LVL", $10.18 
,4x4x8 DF, $29.35 
,4x4x10 DF, $36.69 
,4x4x12 DF, $44.04 
,4x4x14 DF, $51.38 
,4x4x16 DF, $58.72 
,4x4x18 DF, $66.06 
,4x4x20 DF, $73.40 
,4x4x8 PT, $20.48 
,4x4x10 PT, $25.60 
,4x4x12 PT, $30.72 
,4x4x14 PT, $35.84 
,4x4x16 PT, $40.96 
,4x4x18 PT, $46.08 
,4x4x20 PT, $51.20 
,6x6x8 DF, $113.67 
,6x6x10 DF, $136.00 
,6x6x12 DF, $150.00 
,6x6x14 DF, $164.00 
,6x6x16 DF, $178.00 
,6x6x18 DF, $192.00 
,6x6x20 DF, $206.00 
,6x6x8 PT, $16.08 
,6x6x10 PT, $20.10 
,6x6x12 PT, $28.14 
,6x6x14 PT, $28.14 
,6x6x16 PT, $32.16 
,6x6x18 PT, $36.18 
,6x6x20 PT, $40.20 
,"GL 3 1/2""x5-1/2""", 3 1/2 
,"GL 3 1/2""x7-1/2""", Spl Ordr 
,"GL 3 1/2""x9""", $11.33 
,"GL 3 1/2""x11-7/8""", $12.97 
,"GL 3 1/2""x15""", $17.26 
,"GL 3 1/2""x18""", $20.83 
,"GL 5 1/2x5-1/2""", 5 1/2 
,"GL 5 1/2x7-1/2""", $13.34 
,"GL 5 1/2x9""", $15.14 
,"GL 5 1/2x11-7/8""", $17.64 
,"GL 5 1/2x15""", $23.49 
,"GL 5 1/2x18""", $29.43 
,BCI 9 1/2 5000 1', $-   
,BCI 11 7/8 5000 1', $17.65 
,9 1/2 Rim Joist 1', $-   
,11 7/8 Rim Joist 1', $20.79 
,3/8 CDX, $2.84 
,1/2 CDX, $2.50 
,5/8 CDX, $1.97 
,3/4 CDX, $-   
,3/4 T&G Ply, $-   
,7/16 OSB, $-   
,15/32 OSB, $-   
,19/32 OSB, $-   
,3/4 T&G OSB Edge, $-   
,3/4 TG Edge Gold, $-   
,7/16 OSB 4'X9', $-   
,"3/4"" Advantech T&G", $44.50 
,2x6 Hangers, $2.20 
,2x8 Hangers, $2.60 
,2x10 Hangers, $2.97 
,2x12 Hangers, $3.00 
,9 1/2 BCI Hangers, $5.90 
,11 7/8 BCI Hangers, $6.90 
,"6"" Truss Screw 50/Box", $39.55 
,"1/2""x5"" Titan anchor bolt", $5.00 
,Plate Washers 5/8 50/box, $70.00 
,4x4 Knife Post Base, $40.10 
,6x6 Knife Post Base, $55.00 
,8x8 Knife Post Base, $91.00 
,SUBFLOOR Glue 28OZ, $7.14 
,9'x150' House Wrap, $80.00 
,9'x100' Tyvek, $124.00 
,Ice and Water Sheild 3'x67', $26.60 
,Tigerpaw Underlayment Felt 1000sqft, $155.80 
,"Window Tape 4""x75' Frogtape", $33.00 
,"5 1/2""x50' Sill Seal", $8.05 
,80lb Concrete Sackrete, $7.50 
,,
Insulation,"R13 Fiberglass Batts 2x4 16"" O/C 1 Sqft", $0.47 
,"R13 Fiberglass Batts 2x4 24"" O/C 1 Sqft", $0.47 
,"R21 Fiberglass Batts 2x6 16"" O/C 1 Sqft", $0.68 
,"R21 Fiberglass Batts 2x6 24"" O/C 1 Sqft", $0.68 
,"R30 10"" Fiberglass Batts 16"" O/C 1 Sqft", $0.96 
,"R30 10"" Fiberglass Batts 24"" O/C 1 Sqft", $0.96 
,"R38  12"" Fiberglass Batts 16"" O/C 1 Sqft", $1.12 
,"R38 12"" Fiberglass Batts 24"" O/C 1 Sqft", $1.12 
,,
,3 Ply 2x6x12' Full Treat, $70.26 
,3 Ply 2x6x14' Full Treat, $90.00 
,3 Ply 2x6x16' Full Treat, $110.00 
,3 Ply 2x6x18' Full Treat, $130.00 
,3 Ply 2x6x20' Full Treat, $150.00 
,3 Ply 2x6x22' Full Treat, $170.00 
,3 Ply 2x6x24' Full Treat, $190.00 
,3 Ply 2x6x26' Full Treat, $210.00 
,3 Ply 2x6x28' Full Treat, $230.00 
,3 Ply 2x6x30' Full Treat, $250.00 
,3 Ply 2x6x32' Full Treat, $270.00 
,3 Ply 2x6x34' Full Treat, $290.00 
,3 Ply 2x6x12' Treated Bottom, $70.00 
,3 Ply 2x6x14' Treated Bottom, $81.00 
,3 Ply 2x6x16' Treated Bottom, $93.00 
,3 Ply 2x6x18' Treated Bottom, $105.00 
,3 Ply 2x6x20' Treated Bottom, $117.00 
,3 Ply 2x6x22' Treated Bottom, $128.00 
,3 Ply 2x6x24' Treated Bottom, $140.00 
,3 Ply 2x6x26' Treated Bottom, $153.00 
,3 Ply 2x6x28' Treated Bottom, $165.00 
